Index,avg_price_per_kg
1,9.998
2,11.998
3,10.0
4,8.0
5,7.634
6,3.94
7,3.004
8,6.89
9,8.484
10,9.0
11,5.346
12,5.614
13,7.864
14,4.0
15,4.032
16,6.0
17,8.0
18,4.13
19,11.192
20,5.324
21,5.024
22,4.0
23,5.128
24,7.0
25,5.0
26,5.674
27,7.268
28,7.312
29,6.658
30,6.988
31,7.184
32,5.028
33,9.676
34,7.0
35,3.996
36,9.0
37,10.0
38,11.456
39,5.998
40,5.808
41,8.45
42,7.086
43,4.018
44,6.0
45,5.0
46,4.656
47,5.0
48,5.0
49,6.0
50,4.038
51,1.002
52,5.732
53,5.34
54,14.0
55,8.114
56,5.658
57,12.002
58,8.614
59,7.354
60,6.0
61,7.06
62,11.398
63,6.0
64,8.538
65,5.588
66,5.514
67,6.3
68,4.944
69,5.05
70,7.0
71,5.0
72,4.332
73,2.532
74,8.0
75,6.41
76,4.458
77,6.0
78,8.804
79,10.0
80,6.0
81,5.998
82,5.0
83,5.168
84,5.0
85,1.0
86,5.334
87,6.396
88,11.396
89,4.294
90,6.446
91,9.0
92,9.002
93,6.898
94,5.196
95,6.0
96,5.832
97,8.0
98,8.27
99,6.212
100,5.0
101,10.484
102,6.278
103,6.0
104,7.0
105,6.628
106,8.0
107,6.918
108,2.088
109,10.0
110,5.0
111,4.088
112,6.982
113,6.0
114,3.794
115,5.64
116,10.0
117,5.0
118,9.384
119,4.0
120,6.016
121,5.128
122,4.0
123,9.0
124,4.0
125,8.496
126,7.056
127,3.732
128,8.976
129,9.0
130,5.048
131,6.134
132,5.002
133,8.882
134,8.08
135,1.0
136,5.462
137,7.0
138,6.988
139,7.008
140,4.938
141,7.204
142,4.998
143,8.258
144,4.22
145,8.65
146,6.0
147,5.044
148,6.84
149,5.0
150,7.65
151,10.0
152,7.056
153,5.116
154,7.428
155,7.0
156,10.008
157,4.27
158,3.808
159,6.0
160,6.104
161,7.218
162,9.0
163,6.532
164,7.982
165,6.228
166,7.56
167,7.012
168,6.602
169,5.002
170,7.136
171,7.546
172,6.406
173,4.992
174,12.0
175,5.424
176,4.134
177,6.626
178,5.0
179,5.308
180,6.204
181,5.0
182,3.728
183,9.548
184,6.742
185,6.464
186,3.722
187,6.0
188,8.998
189,6.78
190,5.618
191,5.0
192,8.694
193,5.0
194,4.014
195,10.0
196,7.476
197,9.0
198,6.712
199,6.0
200,7.766
201,6.996
202,2.976
203,7.434
204,1.0
205,6.022
206,3.956
207,7.388
208,7.0
209,7.12
210,8.266
211,7.0
212,13.602
213,5.06
214,5.724
215,9.0
216,5.0
217,5.01
218,5.054
219,10.226
220,6.898
221,5.004
222,5.006
223,8.01
224,10.0
225,11.448
226,5.916
227,5.138
228,5.002
229,9.0
230,5.0
231,4.488
232,9.934
233,7.0
234,5.0
235,6.0
236,6.0
237,9.438
238,8.0
239,3.808
240,5.006
241,4.0
242,5.0
243,6.006
244,8.0
245,10.0
246,6.888
247,6.0
248,7.0
249,5.0
250,9.162
251,7.512
252,9.0
253,4.814
254,4.16
255,6.0
256,3.984
257,6.312
258,8.592
259,8.0
260,8.0
261,10.0
262,10.0
263,6.002
264,5.614
265,5.004
266,6.714
267,4.284
268,6.026
269,3.374
270,6.002
271,7.252
272,6.0
273,9.996
274,1.0
275,7.074
276,9.006
277,4.772
278,6.0
279,6.0
280,7.628
281,5.002
282,6.392
283,6.0
284,4.0
285,9.0
286,4.0
287,5.57
288,5.04
289,8.0
290,7.908
291,6.0
292,5.164
293,5.042
294,1.0
295,6.0
296,7.0
297,8.288
298,8.398
299,7.598
300,6.146
301,5.0
302,5.406
303,4.0
304,5.588
305,8.002
306,8.044
307,5.008
308,3.424
309,7.87
310,6.094
311,5.612
312,6.862
313,5.0
314,8.172
315,10.0
316,8.0
317,6.0
318,5.186
319,4.448
320,6.268
321,5.476
322,6.004
323,4.032
324,7.048
325,5.0
326,3.052
327,6.494
328,5.284
329,9.998
330,7.078
331,5.086
332,4.81
333,9.086
334,5.926
335,8.0
336,8.0
337,7.28
338,6.0
339,7.034
340,4.016
341,6.0
342,5.02
343,8.822
344,6.952
345,9.0
346,6.002
347,7.588
348,5.004
349,7.426
350,7.586
351,7.222
352,9.0
353,7.0
354,9.234
355,5.35
356,6.0
357,5.136
358,8.486
359,8.296
360,8.0
361,6.0
362,6.004
363,6.748
364,8.748
365,5.692
366,5.924
367,7.0
368,7.376
369,5.142
370,9.528
371,4.0
372,6.0
373,6.0
374,8.778
375,6.262
376,6.404
377,5.006
378,5.228
379,7.0
380,6.664
381,6.054
382,7.0
383,6.396
384,6.938
385,2.014
386,7.172
387,6.104
388,7.066
389,3.0
390,8.894
391,6.104
392,5.392
393,8.864
394,9.0
395,1.002
396,8.99
397,6.0
398,6.394
399,6.554
400,6.062
401,5.324
